Designator,Footprint,Quantity,Value,LCSC Part #
C1,0201,1,1uF,
"C13, C14",0201,2,10uF,
"C15, C16",0201,2,33pF,
"C17, C2, C3, C4",0201,4,0.1uF,
J1,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,USB_C_Receptacle_USB2.0_16P,
"J2, J3",Hirose_DF13-02P-1.25DSA_1x02_P1.25mm_Vertical,2,Conn_01x02_Pin,
"J5, J6, J7",Hirose_DF13-07P-1.25DSA_1x07_P1.25mm_Vertical,3,Conn_01x07_Pin,
"R1, R2",0201,2,33 R,
"R3, R4",0201,2,50K,
"R5, R6",0201,2,1K,
R7,0201,1,10K,
SW1,SW_Push_SPST_NO_Alps_SKRK,1,SW_Push,
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U2,SOT-23,1,MCP1700x-330xxTT,
U4,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,1,W25Q16JVUXIQ TR,
Y1,Crystal_SMD_1210-4Pin_1.2x1.0mm,1,12 MHz,
