Designator,Mid X,Mid Y,Rotation,Layer
C1,112.05,-62.03,0.0,top
C13,124.025,-62.27,0.0,top
C14,122.72,-65.98,0.0,top
C15,119.52,-74.635,90.0,top
C16,116.05,-74.81,270.0,top
C17,115.39,-61.84,0.0,top
C2,123.42,-71.475,270.0,top
C3,123.04,-66.68,0.0,top
C4,113.905,-61.79,180.0,top
J1,119.33,-56.595,180.0,top
J2,106.68,-67.31,270.0,top
J3,129.54,-67.31,270.0,top
R1,120.1,-62.22,270.0,top
R2,118.57,-62.15,270.0,top
R3,121.29,-62.24,0.0,top
R4,117.04,-61.81,180.0,top
R5,116.89,-74.77,90.0,top
R6,112.035,-64.85,180.0,top
R7,112.04,-63.01,180.0,top
SW1,112.03,-68.21,90.0,top
U1,118.15,-69.38,90.0,top
U2,122.66,-63.6225,270.0,top
U4,114.925,-63.5,0.0,top
Y1,118.18,-74.56,90.0,top
